route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Solapur to Goa
From INR 850",https://www.redbus.in/bus-tickets/solapur-to-goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,20:00,14h 00m,10:00,850,3.0,31 Seats available
"Solapur to Goa
From INR 850",https://www.redbus.in/bus-tickets/solapur-to-goa,S R Travels,A/C Seater/Sleeper (2+1),18:45,12h 15m,07:00,800,2.9,36 Seats available
"Solapur to Goa
From INR 850",https://www.redbus.in/bus-tickets/solapur-to-goa,Humsafar Travels,A/C Sleeper (2+1),23:30,09h 30m,09:00,1350,3.4,26 Seats available
"Solapur to Goa
From INR 850",https://www.redbus.in/bus-tickets/solapur-to-goa,Humsafar Travels,A/C Sleeper (2+1),23:30,08h 00m,07:30,2050,4.0,27 Seats available
"Solapur to Goa
From INR 850",https://www.redbus.in/bus-tickets/solapur-to-goa,Humsafar Travels,A/C Sleeper (2+1),23:30,08h 45m,08:15,2050,4.0,29 Seats available
"Goa to Kolhapur(Maharashtra)
From INR 420",https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,07h 30m,02:30,420,3.9,31 Seats available
"Goa to Kolhapur(Maharashtra)
From INR 420",https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Neeta tours and travels,AC Sleeper (2+1),12:30,06h 30m,19:00,499,3.4,21 Seats available
"Goa to Kolhapur(Maharashtra)
From INR 420",https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,IntrCity SmartBus,AC Sleeper (2+1),16:30,06h 00m,22:30,550,4.1,14 Seats available
"Goa to Kolhapur(Maharashtra)
From INR 420",https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,06h 05m,00:15,704,4.2,21 Seats available
"Goa to Kolhapur(Maharashtra)
From INR 420",https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,IntrCity SmartBus,AC Sleeper (2+1),18:30,06h 15m,00:45,714,4.5,25 Seats available
"Goa to Solapur
From INR 850",https://www.redbus.in/bus-tickets/goa-to-solapur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,13h 30m,08:30,850,2.8,33 Seats available
"Goa to Solapur
From INR 850",https://www.redbus.in/bus-tickets/goa-to-solapur,IntrCity SmartBus,AC Sleeper (2+1),16:30,11h 30m,04:00,1674,4.6,14 Seats available
"Goa to Solapur
From INR 850",https://www.redbus.in/bus-tickets/goa-to-solapur,IntrCity SmartBus,AC Sleeper (2+1),17:30,11h 15m,04:45,1756,3.1,15 Seats available
"Goa to Solapur
From INR 850",https://www.redbus.in/bus-tickets/goa-to-solapur,IntrCity SmartBus,AC Sleeper (2+1),15:30,11h 30m,03:00,1489,4.1,14 Seats available
"Goa to Solapur
From INR 850",https://www.redbus.in/bus-tickets/goa-to-solapur,S R Travels,A/C Seater/Sleeper (2+1),20:30,11h 00m,07:30,600,2.5,28 Seats available
"Goa to Sangola (Solapur)
From INR 675",https://www.redbus.in/bus-tickets/goa-to-sangola,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,11h 05m,06:05,675,3.1,33 Seats available
"Goa to Sangola (Solapur)
From INR 675",https://www.redbus.in/bus-tickets/goa-to-sangola,Humsafar Travels,A/C Sleeper (2+1),19:00,07h 00m,02:00,1250,3.1,14 Seats available
"Sangola (Solapur) to Goa
From INR 675",https://www.redbus.in/bus-tickets/sangola-to-goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:45,12h 15m,10:00,675,2.6,37 Seats available
